id,chapter,end_time,number,page,publication.id,resource.id,start_time,text,uri
f-e6797972-16,Chapter 1,,16.0,24.0,e6797972,HVT-0049,,We are torn apart and even today...through my experience,https://fortunoff.aviaryplatform.com/r/p843r0q312
f-e6797972-17,Chapter 2,00:28:51,17.0,9.0,e6797972,HVT-0035,00:28:18,You was too tired to exist    They did it with knowledge...You was indifferent to everything.                                                           With knoledge,https://fortunoff.aviaryplatform.com/r/4q7qn5z823
f-e6797972-18,Chapter 2,00:09:45,18.0,10.0,e6797972,HVT-0003,00:08:28,I'm thinking of it now...In front of me constantly,https://fortunoff.aviaryplatform.com/r/pn8x921p64
f-e6797972-19,Chapter 2,00:31:30,19.0,14.0,e6797972,HVT-0206,00:31:24,The way I felt                                              and I had to come out alive...died on that train                                                   and to myself                                        ,https://fortunoff.aviaryplatform.com/r/kw57d2qf47
f-e6797972-20,Chapter 2,00:28:51,20.0,14.0,e6797972,HVT-0206,00:26:13,We Perceive life as a precious thing...I don't think so,https://fortunoff.aviaryplatform.com/r/kw57d2qf47
f-e6797972-21,Chapter 2,00:45:05,21.0,15.0,e6797972,HVT-1270,00:42:24,"I feel my head is filled with...those memories, you know. It's hard",https://fortunoff.aviaryplatform.com/r/057cr5n94q
f-e6797972-22,Chapter 2,00:51:50,22.0,16.0,e6797972,HVT-0107,00:49:40,"One morning, I think it was...is there such a thing as love?",https://fortunoff.aviaryplatform.com/r/c53dz03438
f-e6797972-23,Chapter 2,00:48:36,23.0,20.0,e6797972,HVT-0065,00:45:23,Interviewer: How do you get the strength?...how do you come about to that conclusion,https://fortunoff.aviaryplatform.com/r/jh3cz3299m
f-e6797972-24,Chapter 2,00:42:30,24.0,21.0,e6797972,HVT-0756,00:40:25,"If you take ten people...You don't think ""later",https://fortunoff.aviaryplatform.com/r/jq0sq8qm8z
f-e6797972-25,Chapter 2,00:40:49,25.0,22.0,e6797972,HVT-0018,00:39:40,"Interviewer: You were able to survive...ending the interview, Why?",https://fortunoff.aviaryplatform.com/r/2z12n4zj1z
f-e6797972-26,Chapter 2,00:18:27,26.0,24.0,e6797972,HVT-0210,00:14:41,"In December 1944, when the war started...or I missed to do certain things.",https://fortunoff.aviaryplatform.com/r/g44hm52p4m
f-e6797972-27,Chapter 2,00:27:37,27.0,26.0,e6797972,HVT-1095,00:23:20,So this is the complexity...there are no rules,https://fortunoff.aviaryplatform.com/r/dv1cj87q28
f-e6797972-28,Chapter 2,00:32:27,28.0,28.0,e6797972,HVT-1185,00:30:38,One thing I forgot to mention. Tommy...I think I covered my story,https://fortunoff.aviaryplatform.com/r/h98z892h3m
f-e6797972-29,Chapter 3,00:25:36,29.0,3.0,e6797972,HVT-0210,00:24:27,Of course there are all kinds of difficult periods...so that I can grab his bread,https://fortunoff.aviaryplatform.com/r/g44hm52p4m
f-e6797972-30,Chapter 3,00:03:34,30.0,4.0,e6797972,HVT-0224,00:52:00,I want to go ack to the getto...You can't pull it out,https://fortunoff.aviaryplatform.com/r/zc7rn30h80
f-e6797972-31,Chapter 3,00:56:55,31.0,6.0,e6797972,HVT-0836,00:56:33,what could I  say? What could you do?...How cold I call that a hospital,https://fortunoff.aviaryplatform.com/r/5d8nc5sb10
f-e6797972-32,Chapter 3,00:03:24,32.0,8.0,e6797972,HVT-0037,00:03:11,I was ashamed                                                                I've also learned...talk about it                                                                              brought to concentration camps,https://fortunoff.aviaryplatform.com/r/p843r0q30r
f-e6797972-33,Chapter 3,,33.0,11.0,e6797972,HVT-0938,,"I was ashamed of the whole thing...Everybody did what they could, just to save their family",https://fortunoff.aviaryplatform.com/r/j96057d15t
f-e6797972-34,Chapter 3,,34.0,12.0,e6797972,HVT-0628,,I cannot forget this...eyes and swallowed,https://fortunoff.aviaryplatform.com/r/9882j6879m
f-e6797972-35,Chapter 3,,35.0,14.0,e6797972,HVT-0628,,Hit back...frustration and regegret,https://fortunoff.aviaryplatform.com/r/9882j6879m
f-e6797972-36,Chapter 3,,36.0,15.0,e6797972,HVT-0192,,I left him there and I survived...although it burns inside not about this,https://fortunoff.aviaryplatform.com/r/1g0ht2g806
f-e6797972-37,Chapter 3,,37.0,16.0,e6797972,HVT-0065,,Oddly I life my...behave at a funeral,https://fortunoff.aviaryplatform.com/r/jh3cz3299m
f-e6797972-38,Chapter 3,,38.0,17.0,e6797972,HVT-0076,,we were brought up...And it was ver difficult,https://fortunoff.aviaryplatform.com/r/b853f4kr8j
f-e6797972-39,Chapter 3,,39.0,18.0,e6797972,HVT-1136,,and she had a leg...I just bacame hysterical,https://fortunoff.aviaryplatform.com/r/445h98zc00
f-e6797972-40,Chapter 3,,40.0,19.0,e6797972,HVT-0107,,"You know, we...chosen for that",https://fortunoff.aviaryplatform.com/r/c53dz03438
f-e6797972-41,Chapter 3,,41.0,21.0,e6797972,HVT-0107,,I sometimes wish...to live this way,https://fortunoff.aviaryplatform.com/r/c53dz03438
